timestamp,game,score,best_score,avg_score,steps,episode_reward,epsilon,memory_size
2026-04-09T15:12:21,85,18,34,2.68,528,66.11999999999962,0,18137
2026-04-09T15:12:24,86,3,34,2.69,104,3.3599999999999444,0,18241
2026-04-09T15:12:37,87,18,34,2.86,477,140.53000000000006,0,18718
2026-04-09T15:12:53,88,33,34,3.20,580,524.0000000000035,0,19298
2026-04-09T15:13:07,89,26,34,3.46,522,151.18000000000066,0,19820
2026-04-09T15:13:23,90,35,35,3.81,594,395.86000000000325,0,20414
2026-04-09T15:13:41,91,37,37,4.18,661,502.89000000000556,0,21075
2026-04-09T15:14:00,92,47,47,4.64,747,446.23,0,21822
2026-04-09T15:14:08,93,20,47,4.81,251,243.08999999999995,0,22073
2026-04-09T15:14:14,94,15,47,4.91,201,112.88999999999994,0,22274
